,Unnamed: 0,INCOME,IDPERSON,ID13,ID11
2748,55971,60000.0,91408070305,3,2
2749,21494,87550.0,51304071104,3,1
2750,11566,192000.0,30110140102,2,4
2751,133373,62900.0,233507150101,3,1
2752,50680,903350.0,90104091109,3,1
2753,31554,214800.0,70101200104,1,1
2754,167907,96000.0,281608050901,2,1
2755,163634,26000.0,280312150103,3,1
2756,66553,63205.0,95407070103,3,2
2757,58760,317000.0,92802030104,3,1
2758,194325,562000.0,321009031106,3,1
2759,97398,25000.0,191202060102,2,1
2760,43395,71800.0,81404010201,3,2
2761,7821,228210.0,20601061102,3,1
2762,175697,4880.0,291004180103,3,1
2763,128688,290400.0,232202140108,3,1
2764,169827,89330.0,282202041103,4,1
2765,111344,110900.0,211805101107,4,1
2766,195029,207400.0,321110070102,3,1
2767,36415,48500.0,80401101107,4,1
2768,111731,14400.0,211904042103,3,1
2769,26630,203267.0,60901071108,2,1
2770,111751,379500.0,211905020105,1,1
2771,177924,53570.0,291304170106,5,1
2772,47166,71375.0,82406141205,1,1
2773,72636,70050.0,100207040102,3,1
2774,32591,77700.0,70703020105,4,1
2775,85202,111000.0,180206020105,2,2
2776,37146,68180.0,80406030103,2,1
2777,93439,20400.0,190901042101,4,1
2778,153384,352500.0,272008160101,1,1
2779,94711,188200.0,190915130103,4,1
2780,47595,156100.0,82411080101,4,1
2781,118897,78850.0,221012050105,3,1
2782,83077,90000.0,160102090104,2,1
2783,153758,240500.0,272106030103,3,1
2784,12339,103000.0,30207090105,3,4
2785,24406,7800.0,60503151302,4,1
2786,101071,47120.0,201206110103,2,1
2787,58183,70140.0,92407010106,3,2
2788,17962,1299100.0,31113231107,2,4
2789,70480,49210.0,96701132105,3,1
2790,30692,93500.0,61901101201,4,1
2791,134378,151230.0,233705090105,2,1
2792,128701,110280.0,232203020103,1,1
2793,56146,2000.0,91502030201,2,1
2794,183336,55800.0,292005070901,3,1
2795,58602,23990.0,92411060104,3,2
2796,93172,75990.0,190807140101,2,1
2797,45006,201900.0,81513040103,1,1
2798,79588,88780.0,103206160101,2,1
2799,95905,846000.0,191009140102,1,1
2800,132584,87425.0,233201090107,3,2
2801,151149,244000.0,271501140104,2,1
2802,128894,37065.0,232301211101,3,1
2803,71029,69800.0,96705140103,4,1
2804,38087,120000.0,80506090203,3,1
2805,134896,25098.0,234102061204,3,1
2806,24469,99300.0,60503231106,4,1
2807,113628,119400.0,212702100103,3,1
2808,14767,76850.0,30801021101,4,4
2809,9812,204000.0,21008050103,4,1
2810,93328,157935.0,190809041104,2,1
2811,195486,64600.0,321203060101,2,3
2812,151717,176100.0,271701173103,2,1
2813,96819,186000.0,191114020102,2,1
2814,32920,97500.0,70902040903,3,1
2815,38813,35550.0,80604181204,6,1
2816,107893,180000.0,210810050106,2,2
2817,45473,107100.0,82002071101,3,1
2818,128545,81000.0,232201060104,2,2
2819,36015,249000.0,71203020107,2,1
2820,74023,83200.0,100903060105,3,1
2821,27383,722300.0,61002081104,3,1
2822,64405,2460.0,94904300101,2,1
2823,189772,62400.0,320201060103,4,1
2824,190493,284700.0,320406030104,3,1
2825,102013,300000.0,201304120905,3,1
2826,87521,33100.0,180909040101,4,1
2827,72308,20900.0,100204021104,2,1
2828,91174,54500.0,190603082101,2,2
2829,64932,246220.0,95001040103,2,1
2830,119486,100000.0,221104080103,1,1
2831,139998,61660.0,241007080101,3,1
2832,19265,137000.0,40402030104,4,4
2833,130982,172000.0,232603120105,4,1
2834,96544,2040.0,191108150101,2,2
2835,24882,195700.0,60506221105,4,1
2836,162229,25440.0,280202013103,3,1
2837,103946,116620.0,201801130301,3,2
2838,80012,142000.0,103210120106,2,1
2839,96000,80260.0,191012041105,2,1
2840,187901,58575.0,292637181104,4,1
2841,179641,346980.0,291631181102,6,3
2842,13737,35468.0,30503071101,4,1
2843,18188,183300.0,31602021102,2,4
2844,128652,117900.0,232202070104,2,1
2845,137375,110600.0,240707150102,3,1
2846,161203,37370.0,273204061103,3,1
2847,192558,121650.0,320708050106,3,1
2848,9885,90260.0,21009140105,4,1
2849,45531,112600.0,82003021106,4,1
2850,51874,42700.0,90308010101,2,2
2851,83565,45900.0,160107022101,4,1
2852,126499,59000.0,231607020104,2,1
2853,39663,55500.0,80703051204,4,1
2854,171933,34800.0,290208070103,3,1
2855,31306,30000.0,61907120901,3,1
